ZPG_22360,,ZPG_6500,,300_6500,,1000_22360,,-300_6500,,-1000_22360,,-100_6500,,-380_22360,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.067254103,0.00024776355638578273,-0.067254103,0.00024776355638578273,-0.067254103,0.00024776355638578273,-0.06697446,0.002747770547456785,-0.034965035,-0.000950806,-0.034965035,0.0016522306327080294,0.034965034965035,0.00034707158351432454,0.06993006993007,-0.002257786
4.430381516726836,0.009110204446880488,2.68610930120051,0.01531659764149218,2.953168213557646,0.0028232741143010553,3.355853903394589,0.002833341256547106,-1.048951049,0.006911093245149713,-1.363636364,0.01083203130925492,1.5034965034965033,0.017190358448493148,1.18881118881119,0.013302185883530715
7.585591682303363,0.016689084701019707,5.171015578902626,0.030378720298434803,5.50379055869843,0.005387039672929639,6.309161938372309,0.005407173957421518,-1.818181818,0.018664805909925475,-2.552447552,0.023909106078303655,2.7972027972028,0.03143970996465573,2.2727272727272716,0.027562459232741476
10.204027416184047,0.02550454559436688,7.656201499444908,0.04794084994644843,7.98757826503989,0.010449134365588142,9.799384226465957,0.007994429514623924,-3.076923077,0.030444002851812035,-3.636363636,0.04088527524536212,4.02097902097902,0.045692702091834514,3.3566433566433567,0.04442576945830767
12.218993900989659,0.03930491975648687,9.940324217908888,0.06799795301440992,10.806657736738636,0.013019611352380722,12.954035106362152,0.01057329578662125,-4.300699301,0.04742745324090247,-4.370629371,0.07085842573911993,5.20979020979021,0.06645510671541055,4.3006993006993035,0.07951761904039578
13.899507548958464,0.06309693259768623,11.890273742376237,0.10054670175252156,13.35755972471959,0.018083383902080197,16.10868598625835,0.013152162058618688,-5.384615385,0.06960969616067236,-4.755244755,0.10081337317779848,6.363636363636363,0.09242540539720612,4.93006993006993,0.12764103575383423
15.449567811990526,0.12063568410426206,13.236754017768504,0.13808036375940635,15.908461712700536,0.02314715645177967,18.927625636537016,0.014472635549875656,-6.468531469,0.0969980128331539,-5.034965035,0.1294613412617751,7.272727272727273,0.12621755684662428,5.34965034965035,0.1874890402439211
16.463273107586986,0.1831610267366518,14.24850181348382,0.1831056574542992,18.39238924046208,0.029459254639973786,21.81381938987525,0.017044790393708986,-7.272727273,0.13348239612881707,-5,0.1711081109779593,8.006993006993007,0.16392336513811578,5.6993006993007,0.23823005627777882
17.546749291804502,0.26943811364125725,14.857563919362192,0.2281208840069463,21.010545331502605,0.035774708542249845,24.700572428893814,0.024616959219684653,-7.832167832,0.17516011103863616,-5.104895105,0.22447582785977604,8.53146853146853,0.21075072432990016,5.874125874125873,0.2902816922773541
